village_name,created_time,households,road_conditions,total_population,gps_latitude,gps_longitude,_population_without_enough_rice,children_aged_0_-_18,distance_to_town_km,adult_males,adult_females,distance_to_hospital_km,nearest_health_centre,distance_to_pratom_km,annual_typhoid_cases,distance_to_health_centre_km,distance_to_mathayom_km,common_diseases,hosted_kht_projects,record_id
Ban Kong Pae Nua,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000000527057
Ban Jaw Si Der,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000000527058
Ban San Jao,2021-10-28 12:25:05,17,,92,,,30,45,11,23,24,11,Ban Pang Tong,1,3,7,-1,,WASH,zcrm_361303000000527060
Ban Santi Pattana,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000000527061
Ban Na ngeiw,2021-10-28 12:25:05,30,,147,19.09541,97.52298,50,60,11,37,50,11,Khun Yuam,-1,-1,11,-1,,Further Education Scholarships;WASH,zcrm_361303000000527062
Ban Hak Mai Tai,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000000527063
Ban Mae Pang,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000000527064
Ban Mae Poon,2021-10-28 12:25:05,83,Average (some paved road. some potholes),313,18.25059,98.12688,40,83,47,110,120,47,Ban Chang Maw,0,3,27,28,,Further Education Scholarships;WASH,zcrm_361303000000527065
Khun Yuam Wittaya,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,School Meals;Further Education Scholarships,zcrm_361303000000527066
Mae Tho,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000000527067
Ban Tee Hue Lue,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000000527068
Ban Nam Tok,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000000527069
Ban Khun Mae Yod,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000000527070
Ban Ma Hing Luang,2021-10-28 12:25:05,72,,473,18.682,98.04242,30,202,43,135,136,43,Ban Mae La Ka,-1,18,7,-1,Flu. Ulcer,Further Education Scholarships;WASH,zcrm_361303000000527071
Ban Huay Ma Ba,2021-10-28 16:47:15,38,Average (some paved road. some potholes),198,18.56305,98.08861,60,-1,56,96,102,56,Ban Khun Mae La Noi,6,-1,6,65,Flu,Irrigation;Further Education Scholarships;WASH,zcrm_361303000000534424
Ban Pa Maak,2021-11-01 13:07:27,100,Very Good (paved roads),350,18.430025,97.879721,60,-1,1,170,180,1,Mae La Noi,0,-1,1,1,Flu,Irrigation;Further Education Scholarships;WASH,zcrm_361303000000543001
Ban Mae Khi,2021-11-01 17:10:12,81,,396,18.66254,97.85096,40,84,34,166,146,34,In the village,-1,3,-1,34,Flu and Ulcer,School Meals;Further Education Scholarships;WASH,zcrm_361303000000546098
Ban Pho So,2021-11-19 08:24:16,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,School Meals,zcrm_361303000000654001
Ban Mae Au (Mae Chaem),2021-11-22 07:54:33,34,Poor (not paved. lots of potholes),113,18.808386,98.252471,40,46,87,35,32,50,Ban Pang Ung,6,10,23,87,Cholera. Hepatisis A & parasites,WASH,zcrm_361303000000667001
Ban Mae Yuam Luang,2021-11-26 04:07:54,19,Very Good (paved roads),87,18.82872,97.917326,50,-1,12,47,40,12,Ban Pang Tong,1,-1,4,12,Flu,Irrigation;Further Education Scholarships;WASH,zcrm_361303000000702001
Ban Huay Ton Noon,2021-11-26 04:33:45,150,Very Good (paved roads),565,18.77794,97.75461,45,-1,25,275,290,25,Ban Huay Ton Noon,0,-1,0,25,Flu,Irrigation;Further Education Scholarships;WASH,zcrm_361303000000702035
Ban Ler Wa Day,2021-11-26 07:38:22,17,Average (some paved road. some potholes),105,18.409533,97.705962,50,-1,70,51,54,70,Ban Po Saw,3,-1,10,10,Fllu,Irrigation,zcrm_361303000000707091
Ban Po Saw,2021-11-26 07:59:56,123,Very Good (paved roads),537,18.346565,97.693357,50,-1,60,254,283,60,Ban Po Saw,0,-1,0,0,Flu,Irrigation;WASH,zcrm_361303000000707147
Ban Mae Lor,2021-11-26 08:24:13,45,Average (some paved road. some potholes),299,18.43209,97.693,50,-1,73,137,162,73,Ban Po Saw,0,-1,10,10,Flu,Irrigation;WASH,zcrm_361303000000707181
Ban Huay Na,2021-11-26 08:50:08,125,Very Good (paved roads),486,19.05218,98.35587,45,-1,25,242,244,25,Ban Huay Na,0,1,0,25,Stomach. Flu. Skin infection,Irrigation;Further Education Scholarships;WASH,zcrm_361303000000707225
Ban Huay Pong,2021-11-28 05:32:07,35,Average (some paved road. some potholes),123,,,50,-1,73,58,65,73,Ban Po Saw,5,-1,13,13,Flu,Irrigation;WASH,zcrm_361303000000716013
Ban Nong Heang,2021-11-28 05:47:14,122,Very Good (paved roads),408,18.63574,97.94905,55,-1,25,-1,-1,25,Ban Muang Pon,0,-1,10,0,Flu,Irrigation;Further Education Scholarships;WASH,zcrm_361303000000716047
Ban Mae Jaa,2021-11-28 06:11:03,81,Good (paved roads. few potholes),335,18.986531,97.989024,55,-1,35,178,157,35,Ban Huay Pong,0,-1,3,35,15 others affected by illnesses,Irrigation;Further Education Scholarships;WASH,zcrm_361303000000716116
Ban Mae Song,2021-11-28 06:40:40,36,Average (some paved road. some potholes),175,,,50,-1,85,90,85,80,Ban Sa La Jiang Tong,12,1,12,12,Flu,Irrigation;Further Education Scholarships,zcrm_361303000000716180
Ban Mae Po,2021-11-29 03:16:25,65,Average (some paved road. some potholes),315,,,50,-1,90,151,164,90,Ban Sa La Jiang Tong,15,-1,15,15,Flu,Irrigation;WASH,zcrm_361303000000716289
Ban Mae Phae,2021-11-29 03:23:28,85,Average (some paved road. some potholes),380,,,50,-1,70,196,184,70,Ban Sa La Jiang Tong,20,-1,20,20,,Irrigation,zcrm_361303000000716314
Ban Thung Pa Kha,2022-03-09 08:59:51,151,Good (paved roads. few potholes),420,18.62569,97.95176,40,-1,23,201,219,23,Ban Mae Suk,3,-1,3,23,Dengue Fever: 2,School Buses;Irrigation;WASH,zcrm_361303000001197125
Ban Nong Khao Nua,2022-05-11 08:38:28,25,Good (paved roads. few potholes),93,19.236202,98.145748,50,20,45,34,39,45,Ban Nong Khao Klong,12,2,5,12,Parasites,WASH,zcrm_361303000001443001
Ban Mae Tia,2022-05-12 08:47:17,296,Very Good (paved roads),1081,18.297219,97.917109,40,257,15,397,427,15,Ban Mae Tia,0,30,0,15,Hepatitis/ Parasites,Further Education Scholarships;WASH,zcrm_361303000001443196
Ban Kong Soum,2022-06-01 07:48:30,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001611292
Ban Huay Po,2022-06-01 08:05:00,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001611368
Ban Khun Mae Ruam,2022-06-01 08:07:11,125,,703,18.91706,98.19787,35,166,32,277,260,32,Ban Mae La Up,-1,-1,20,-1,Flu and Ulcer,Further Education Scholarships;WASH,zcrm_361303000001611394
Ban Klo Se Lo,2022-06-01 08:11:55,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001611430
Ban Pang Tong,2022-06-01 08:18:32,233,,863,18.84205,98.06347,50,22,13,419,422,13,Ban Pang Tong,-1,3,-1,-1,Flu and Diarrhea,Further Education Scholarships;WASH,zcrm_361303000001611496
Ban Huay Hu Pa,2022-06-01 08:24:03,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001611560
Ban Mae Taw La,2022-06-01 08:27:45,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001611591
Ban Huay Sua,2022-06-01 08:36:00,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001611617
Ban Pang Chang,2022-06-01 08:40:32,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001611643
Ban Mae Sa,2022-06-01 08:45:09,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001611690
Ban Mae Wa Luang,2022-06-20 07:12:44,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001699013
Sao Hin,2022-06-20 07:26:27,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001699049
Pa Mark,2022-06-20 07:29:43,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001699075
Mae Tor,2022-06-20 07:31:03,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001699101
Ban Aum Da Nua,2022-06-20 07:54:16,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001699139
Ban Huay Ma Kok,2022-06-20 08:06:00,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001699181
Ban Aae Auh,2022-07-25 11:19:24,57,,297,18.92632,98.21819,40,80,80,109,108,36,Ban Mae La Oop,5,9,10,5,Flu and Ulcer,WASH,zcrm_361303000001881585
Ban Chan Muang,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881587
Ban Den,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881588
Ban Doi Liam,2022-07-25 11:19:24,36,,173,18.25842,98.09135,40,65,35,53,55,35,Ban Mae Ho,-1,5,10,-1,Flu. Ulcer and cancer,Further Education Scholarships;WASH,zcrm_361303000001881589
Ban Du La Per,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881590
Ban Eh Loo,2022-07-25 11:19:24,42,,207,18.42941,97.66358,60,45,78,81,81,78,Ban Po Suar,10,11,15,15,Flu,WASH,zcrm_361303000001881591
Ban Gano. KY Dist,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881592
Ban Goong Sum Tai,2022-07-25 11:19:24,22,Very Poor (not paved. inaccesible in wet season),107,18.400235,97.614122,70,27,81,41,39,81,Ban Po Saw,0,10,25,25,Cholera,WASH,zcrm_361303000001881594
Ban Hak Mai Nua,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881595
Ban Hiau Bong,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881597
Ban Hua Ha,2022-07-25 11:19:24,19,,110,19.10263,98.0745,90,47,70,32,31,70,Ban Paw New Khee,-1,6,13,-1,Flu,Further Education Scholarships;WASH,zcrm_361303000001881598
Ban Hua Ha (Khun Yuam),2022-07-25 11:19:24,21,,100,,,30,30,37,35,35,37,Ban Pang Tong,3,-1,20,-1,Stomach problem. Skin infection. ulcer,WASH,zcrm_361303000001881599
Ban Hua La,2022-07-25 11:19:24,95,,449,18.54534,97.95983,40,151,26,151,147,26,In the village,-1,3,-1,-1,Flu. Ulcer. Prostate. Stones (stone in bladder because of unclean water),Further Education Scholarships;WASH,zcrm_361303000001881600
Ban Hua Mae Surin,2022-07-25 11:19:24,21,,220,18.92328,98.08674,20,57,33,81,82,33,Ban Pang Tong,-1,-1,18,-1,Stomach problem. Skin infection,Further Education Scholarships;WASH,zcrm_361303000001881601
Ban Hua Mae Tho,2022-07-25 11:19:24,90,Very Good (paved roads),349,18.64773,98.06686,50,-1,70,178,171,70,Ban Mae Tho,0,-1,10,10,Flu,Irrigation;Further Education Scholarships;WASH,zcrm_361303000001881602
Ban Hua Ngao,2022-07-25 11:19:24,50,,245,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Irrigation;Further Education Scholarships,zcrm_361303000001881604
Ban Hua Taad,2022-07-25 11:19:24,53,,233,18.58668,98.02205,40,88,23,73,72,23,Ban Mae Pang,-1,6,10,-1,Flu and Ulcer,Further Education Scholarships;WASH,zcrm_361303000001881606
Ban Huang Puang (Tha Pha Pum),2022-07-25 11:19:24,44,,184,,,40,61,22,61,62,22,Ban Mae Tai,-1,10,35,-1,Flu. Ulcer,WASH,zcrm_361303000001881607
Ban Huay Ba Ban,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881608
Ban Huay Chai Yong,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881609
Ban Huay Chang Kam,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881610
Ban Huay Dua,2022-07-25 11:19:24,120,,426,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Irrigation;Further Education Scholarships,zcrm_361303000001881611
Ban Huay Hak Mai Ta,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881613
Ban Huay Hia,2022-07-25 11:19:24,48,Very Poor (not paved. inaccesible in wet season),245,18.46444,97.61937,45,114,92,63,68,92,Ban Sa La Jiang Tong,0,2,14,36,Cholera,Irrigation;Further Education Scholarships;WASH,zcrm_361303000001881614
Ban Huay Hia Noi,2022-07-25 11:19:24,25,Very Good (paved roads),87,18.07754,98.14618,-1,34,50,27,26,50,Ban Kong Pae,6,5,7,25,,WASH,zcrm_361303000001881615
Ban Huay Hom,2022-07-25 11:19:24,89,,316,19.17179,98.28864,45,80,45,119,117,6,Ban Huay Bong,2,20,11,2,Typhoid.Ulcer,WASH,zcrm_361303000001881616
Ban Huay Keaw,2022-07-25 11:19:24,45,,189,19.23504,97.91825,80,68,20,55,66,20,Ban Pa Pong,-1,8,5,-1,Flu and skin infection,WASH,zcrm_361303000001881619
Ban Huay Kong Paw,2022-07-25 11:19:24,52,,519,18.53264,97.84733,30,166,34,178,175,34,Ban Mae Su,-1,2,13,-1,Flu. Ulcer. Stomach,School Buses;WASH,zcrm_361303000001881620
Ban Huay Ma Nam,2022-07-25 11:19:24,65,,344,17.64024,98.09067,50,125,104,111,108,84,Ban Na Doi,4,7,12,4,Flu and Ulcer,WASH,zcrm_361303000001881624
Ban Huay Maak Lang,2022-07-25 11:19:24,45,,251,18.87872,98.0117,60,102,50,76,73,50,Ban Paw Naw Khi,3,2,5,-1,,Further Education Scholarships;WASH,zcrm_361303000001881625
Ban Huay Mai Sand,2022-07-25 11:19:24,74,,282,18.62415,98.00061,50,78,40,97,107,40,Ban Mae Tho,-1,8,8,8,Flu and skin infection,WASH,zcrm_361303000001881626
Ban Huay Mai Sang,2022-07-25 11:19:24,57,,425,,,-1,-1,40,-1,-1,40,Ban Mae La ka,-1,5,6,-1,,School Buses;Irrigation;Further Education Scholarships;WASH,zcrm_361303000001881627
Ban Huay Mak Lang,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881628
Ban Huay Mak Nam,2022-07-25 11:19:24,35,Very Poor (not paved. inaccesible in wet season),116,18.06412,98.03655,-1,71,50,43,56,50,Ban Mae Ho,4,5,30,30,,WASH,zcrm_361303000001881629
Ban Huay Mak Noon,2022-07-25 11:19:24,198,Very Good (paved roads),620,18.33886,97.99521,-1,212,12,202,206,12,Ban Mae Tia,-1,4,24,-1,1 Dengue Fever,,zcrm_361303000001881630
Ban Huay Moo,2022-07-25 11:19:24,14,Average (some paved road. some potholes),82,19.135383,98.127936,40,15,53,35,32,53,Ban Huay Poo Ling,3,4,3,53,Flu,WASH,zcrm_361303000001881631
Ban Huay Na (Mae Sariang),2022-07-25 11:19:24,21,,109,18.9509,97.79007,40,32,48,40,37,48,Ban Mae Lid Pa Kae,2,6,-1,26,Flu. Ulcer and skin infection,WASH,zcrm_361303000001881633
Ban Huay Nam Sai,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881634
Ban Huay Ngao,2022-07-25 11:19:24,82,,337,,,40,101,32,121,115,32,Ban Huay Na,-1,14,4,32,Flu and Ulcer,WASH,zcrm_361303000001881635
Ban Huay Ngoo,2022-07-25 11:19:24,42,,234,,,40,72,26,74,88,26,Mae Sariang,-1,40,26,-1,skin infection. diarrhea. (They need a lot paracetamol for Colds + antihistimine). No AIDS Though they are awals of it,WASH,zcrm_361303000001881636
Ban Huay Ngoo Luam,2022-07-25 11:19:24,20,,87,,,50,24,10,34,29,10,Mae La Noi,-1,3,10,-1,Flu and Ulcer,WASH,zcrm_361303000001881637
Ban Huay Noong,2022-07-25 11:19:24,30,,153,,,80,71,31,41,41,31,Ban Mae Surin,-1,1,19,-1,Stomach. ulcer,WASH,zcrm_361303000001881638
Ban Huay Pak Pai,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881639
Ban Huay Phak Kood,2022-07-25 11:19:24,102,,561,18.74639,98.2152,30,257,50,153,151,50,Ban Pang Ung,-1,14,20,50,Flu and cancer,WASH,zcrm_361303000001881641
Ban Huay Phan,2022-07-25 11:19:24,34,,184,18.99936,97.87624,30,73,35,56,55,35,Ban Mae Surin,-1,10,28,-1,Flu,WASH,zcrm_361303000001881642
Ban Huay Pla Kang,2022-07-25 11:19:24,185,Good (paved roads. few potholes),607,18.06347,98.03399,40,271,38,186,150,38,Ban Mae Ho,-1,2,18,38,Ulcer,WASH,zcrm_361303000001881643
Ban Huay Ploo,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,WASH,zcrm_361303000001881644
Ban Huay Pong (Khun Yuam),2022-07-25 11:19:24,26,,149,,,40,65,39,42,42,39,Ban Mae Jae,4,-1,4,-1,Flu. Ulcer. respiratory diseases,WASH,zcrm_361303000001881647
Ban Huay Poo Leoy,2022-07-25 11:19:24,84,Very Poor (not paved. inaccesible in wet season),370,19.14775,98.02886,60,90,70,132,148,20,Ban Huay Tong,0,10,10,20,,WASH,zcrm_361303000001881650
Ban Huay Poo Ling,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881651
Ban Huay Sai,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881654
Ban Huay Ta Phaap,2022-07-25 11:19:24,22,,111,,,45,29,40,45,37,40,Mae La Luang,4,3,20,-1,Flu,WASH,zcrm_361303000001881657
Ban Huay Tong,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881659
Ban Huay Tong Jing,2022-07-25 11:19:24,38,,182,18.76571,98.00907,45,64,30,59,59,30,Ban Mae Jae,2,5,7,30,Flu,Further Education Scholarships;WASH,zcrm_361303000001881660
Ban Huay Tong Kaw,2022-07-25 11:19:24,23,,106,,,50,20,40,44,42,40,Ban Me Pang,15,9,20,-1,Malaria. Typhoid.Flue.Ulcer,WASH,zcrm_361303000001881661
Ban Huay Yao,2022-07-25 11:19:24,24,,106,,,20,50,37,28,28,37,Ban Papae,4,2,12,-1,Flu. Ulcer,WASH,zcrm_361303000001881663
Ban Huayn Maak lang,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881664
Ban Huey Tung,2022-07-25 11:19:24,42,,195,,,50,130,32,34,31,32,In the village,-1,-1,-1,-1,,WASH,zcrm_361303000001881665
Ban Huy Kae Pa,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881666
Ban Ka No,2022-07-25 11:19:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001881668
